,Customer ID,City Code,Accomodation Ownership,Age,Married_Insured,Plan Code,Policy Duration,Policy Type,Policy Category,Premium Amount,Response,customer_lifetime,isLoyal,premium_lifetime,purchase_frequency,prodScore,premium_LTYes,premium_LTNo,numProdTried,impression
1,81716,C2,Rented,75,2,X2,4.0,3,21,44689.0,0,0,0,92908.0,2,"{'X2': -1.5, 'X1': -1.5}",0.0,92908.0,2,-3.0
2,80492,C13,Owned,75,2,X1,6.0,3,18,15141.0,1,0,0,15141.0,1,{'X1': 1.5},15141.0,0.0,1,1.5
3,75895,C14,Owned,75,2,X2,1.0,3,8,33206.0,1,52,1,76905.0,2,{'X2': 0.5},33206.0,43699.0,1,0.5
4,85258,C4,Owned,75,2,X1,8.0,2,20,31657.0,0,50,1,98867.0,3,"{'X1': -1.5, 'X2': 0.5}",30585.0,68282.0,2,-1.0
5,80292,C3,Owned,75,2,X1,2.0,2,16,37167.0,0,0,0,37167.0,1,{'X1': -1.5},0.0,37167.0,1,-1.5
6,84575,C29,Owned,75,2,X3,14+,1,16,24649.0,0,0,0,24649.0,1,{'X3': -1.5},0.0,24649.0,1,-1.5
7,78849,C1,Owned,75,2,X1,8.0,3,18,47882.0,0,56,1,123298.0,4,{'X1': -0.5},28511.0,94787.0,1,-0.5
8,84172,C4,Owned,75,2,X1,3.0,1,21,16071.0,0,5,1,32886.0,2,"{'X1': -1.5, 'X4': 1.5}",16815.0,16071.0,2,0.0
9,77886,C1,Owned,75,2,X3,10.0,3,14,48356.0,0,0,0,48356.0,1,{'X3': -1.5},0.0,48356.0,1,-1.5
10,81826,C7,Owned,75,2,X1,14+,3,9,35950.0,1,0,0,35950.0,1,{'X1': 1.5},35950.0,0.0,1,1.5
11,75746,C4,Owned,75,2,X1,4.0,3,14,16319.0,1,0,0,50529.0,2,"{'X1': 1.5, 'X5': 1.5}",50529.0,0.0,2,3.0
